CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Trans_Ct,Avg_Utilization_Ratio,Quarter,Year
714547458,Existing Customer,65,M,0,Graduate,Married,Less than $40K,Blue,68,3,2,2,2297,1440,2297,119,0.63,none,2019
714547458,Existing Customer,65,M,0,Graduate,Married,Less than $40K,Blue,56,3,3,2,2297,0,2297,51,0,none,2018
714914583,Existing Customer,65,F,2,College,Married,$40K - $60K,Blue,39,6,0,3,3751,233,2230,15,0.06,none,2019
715532208,Existing Customer,65,F,1,High School,Single,Less than $40K,Blue,67,3,4,2,4010,844,2506,113,0.21,none,2019
715532208,Existing Customer,65,F,1,High School,Single,Less than $40K,Blue,55,3,3,2,4010,1504,2506,61,0.375,none,2018
715548183,Existing Customer,65,M,1,Graduate,Single,$80K - $120K,Gold,56,4,3,3,23566,1670,21896,79,0.071,none,2018
715548183,Existing Customer,65,M,1,Graduate,Single,$80K - $120K,Gold,68,4,2,3,23566,697,21896,19,0.03,none,2019
715612983,Existing Customer,65,F,1,High School,Single,$40K - $60K,Silver,55,5,2,4,6463,1660,4803,49,0.257,none,2018
715612983,Existing Customer,65,F,1,High School,Single,$40K - $60K,Silver,67,5,4,4,6463,705,4803,98,0.11,none,2019
715952883,Existing Customer,65,M,0,High School,Married,$40K - $60K,Blue,36,5,3,2,4469,1125,3344,34,0.252,none,2018
715952883,Existing Customer,65,M,0,High School,Married,$40K - $60K,Blue,48,5,6,2,4469,441,3344,92,0.1,none,2019
716174433,Existing Customer,65,F,1,College,Married,Less than $40K,Blue,66,3,3,3,2888,1172,1754,35,0.41,none,2019
716174433,Existing Customer,65,F,1,College,Married,Less than $40K,Blue,54,3,3,3,2888,1134,1754,54,0.393,none,2018
716284308,Existing Customer,65,M,2,High School,Married,$40K - $60K,Silver,55,3,2,2,6099,2175,3924,34,0.357,none,2018
716284308,Existing Customer,65,M,2,High School,Married,$40K - $60K,Silver,67,3,3,2,6099,918,3924,61,0.15,none,2019
716610558,Existing Customer,65,F,0,High School,Single,$40K - $60K,Silver,36,3,3,3,10962,1559,9403,71,0.142,none,2018
716610558,Existing Customer,65,F,0,High School,Single,$40K - $60K,Silver,48,3,2,3,10962,1106,9403,112,0.1,none,2019
716823408,Existing Customer,65,M,0,Graduate,Married,$80K - $120K,Gold,56,3,2,2,28410,1608,26802,77,0.057,none,2018
716823408,Attrited Customer,65,M,0,Graduate,Married,$80K - $120K,Gold,68,3,2,2,28410,1275,26802,110,0.04,Q2,2019
717134058,Existing Customer,65,F,1,College,Single,$40K - $60K,Silver,36,5,1,2,5018,1131,3887,81,0.225,none,2018
717134058,Existing Customer,65,F,1,College,Single,$40K - $60K,Silver,48,5,1,2,5018,540,3887,31,0.11,none,2019
717206508,Existing Customer,65,F,0,High School,Married,$40K - $60K,Blue,36,3,2,2,2798,1806,992,35,0.645,none,2018
717206508,Existing Customer,65,F,0,High School,Married,$40K - $60K,Blue,48,3,2,2,2798,1005,992,101,0.36,none,2019
717307158,Existing Customer,65,F,1,Graduate,Married,Less than $40K,Blue,36,2,1,3,1853,1314,539,79,0.709,none,2018
717307158,Existing Customer,65,F,1,Graduate,Married,Less than $40K,Blue,48,2,0,3,1853,392,539,16,0.21,none,2019
717380133,Existing Customer,65,M,0,High School,Single,$40K - $60K,Blue,48,6,5,1,3305,696,1396,58,0.21,none,2019
717380133,Existing Customer,65,M,0,High School,Single,$40K - $60K,Blue,36,6,4,1,3305,1909,1396,72,0.578,none,2018
717914808,Existing Customer,65,M,1,College,Single,Less than $40K,Blue,48,4,2,5,4465,822,3762,98,0.18,none,2019
717914808,Existing Customer,65,M,1,College,Single,Less than $40K,Blue,36,4,3,5,4465,703,3762,66,0.157,none,2018
717965808,Existing Customer,65,M,0,Graduate,Single,$40K - $60K,Silver,54,5,1,4,9383,829,8554,73,0.088,none,2018
717965808,Existing Customer,65,M,0,Graduate,Single,$40K - $60K,Silver,66,5,3,4,9383,1331,8554,83,0.14,none,2019
718181433,Existing Customer,65,F,0,Graduate,Single,$40K - $60K,Silver,56,6,1,2,8705,1453,7252,88,0.167,none,2018
718181433,Existing Customer,65,F,0,Graduate,Single,$40K - $60K,Silver,68,6,1,2,8705,511,7252,75,0.06,none,2019
718476033,Existing Customer,65,F,0,College,Married,$80K - $120K,Gold,56,5,3,5,20130,2355,17775,49,0.117,none,2018
718476033,Attrited Customer,65,F,0,College,Married,$80K - $120K,Gold,68,5,1,5,20130,1295,17775,116,0.06,Q2,2019
718589133,Existing Customer,65,F,1,Graduate,Single,Less than $40K,Silver,68,6,0,2,4613,1303,2994,41,0.28,none,2019
718589133,Existing Customer,65,F,1,Graduate,Single,Less than $40K,Silver,56,6,2,2,4613,1619,2994,62,0.351,none,2018
718693683,Existing Customer,65,F,0,High School,Single,Less than $40K,Blue,65,4,2,3,2418,1041,213,72,0.43,none,2019
718693683,Existing Customer,65,F,0,High School,Single,Less than $40K,Blue,53,4,1,3,2418,2205,213,74,0.912,none,2018
719555733,Existing Customer,65,F,2,College,Married,$40K - $60K,Blue,36,4,3,3,2162,1592,570,42,0.736,none,2018
719620983,Existing Customer,65,F,2,College,Single,$40K - $60K,Blue,29,6,3,0,2701,1839,862,80,0.681,none,2018
719729433,Attrited Customer,65,F,1,Graduate,Married,$40K - $60K,Silver,68,4,1,0,7023,1151,5297,49,0.16,Q2,2019
719729433,Existing Customer,64,F,1,Graduate,Married,$40K - $60K,Silver,56,4,2,0,7023,1726,5297,51,0.246,none,2018
720254883,Existing Customer,53,F,0,High School,Married,$40K - $60K,Silver,46,6,1,3,5877,1697,4180,58,0.289,none,2018
720254883,Existing Customer,52,F,0,High School,Married,$40K - $60K,Silver,58,6,0,3,5877,1286,4180,41,0.22,none,2019
720430083,Existing Customer,65,M,0,High School,Single,$40K - $60K,Blue,36,3,3,2,2107,1008,1099,67,0.478,none,2018
720430083,Existing Customer,65,M,0,High School,Single,$40K - $60K,Blue,48,3,6,2,2107,1174,1099,122,0.56,none,2019
720484908,Existing Customer,65,F,1,High School,Married,$40K - $60K,Blue,52,5,3,3,2155,0,2155,27,0,none,2018
720484908,Existing Customer,65,F,1,High School,Married,$40K - $60K,Blue,64,5,2,3,2155,1345,2155,121,0.62,none,2019
720695583,Existing Customer,65,M,1,College,Single,$40K - $60K,Silver,53,6,2,3,10775,1787,8988,70,0.166,none,2018
720695583,Existing Customer,65,M,1,College,Single,$40K - $60K,Silver,65,6,3,3,10775,554,8988,109,0.05,none,2019
720769533,Existing Customer,65,M,0,Graduate,Single,Less than $40K,Blue,48,4,5,1,2000,613,756.3,71,0.31,none,2019
720769533,Existing Customer,65,M,0,Graduate,Single,Less than $40K,Blue,36,4,0,1,1438.3,682,756.3,63,0.474,none,2018
720770883,Existing Customer,65,F,0,Graduate,Single,Less than $40K,Blue,68,5,4,3,2000,661,1438.3,48,0.33,none,2019
720770883,Existing Customer,65,F,0,Graduate,Single,Less than $40K,Blue,56,5,3,3,1438.3,0,1438.3,61,0,none,2018
720863133,Existing Customer,65,M,1,Graduate,Married,$40K - $60K,Blue,54,5,3,4,3213,2517,696,39,0.783,none,2018
720863133,Existing Customer,65,M,1,Graduate,Married,$40K - $60K,Blue,66,5,5,4,3213,473,696,49,0.15,none,2019
721258158,Existing Customer,65,F,1,College,Single,$40K - $60K,Silver,51,3,3,5,11037,1491,9546,63,0.135,none,2018
721258158,Existing Customer,65,F,1,College,Single,$40K - $60K,Silver,63,3,3,5,11037,572,9546,29,0.05,none,2019
767114958,Existing Customer,65,M,0,High School,Single,$40K - $60K,Blue,56,4,2,2,3226,2073,1153,70,0.643,none,2018
767114958,Existing Customer,65,M,0,High School,Single,$40K - $60K,Blue,68,4,2,2,3226,1498,1153,78,0.46,none,2019
770721858,Existing Customer,65,M,1,Graduate,Married,$40K - $60K,Blue,68,3,0,5,3539,621,1022,79,0.18,none,2019
770721858,Existing Customer,65,M,1,Graduate,Married,$40K - $60K,Blue,56,3,2,5,3539,2517,1022,31,0.711,none,2018
771234558,Existing Customer,65,F,0,Graduate,Single,$40K - $60K,Silver,68,6,4,2,7478,478,7478,77,0.06,none,2019
771234558,Existing Customer,65,F,0,Graduate,Single,$40K - $60K,Silver,56,6,3,2,7478,0,7478,62,0,none,2018
771942333,Existing Customer,65,M,1,College,Single,$40K - $60K,Silver,66,5,6,2,5363,244,4054,107,0.05,none,2019
771942333,Existing Customer,65,M,1,College,Single,$40K - $60K,Silver,54,5,2,2,5363,1309,4054,63,0.244,none,2018
772277508,Existing Customer,65,F,1,High School,Single,$40K - $60K,Blue,54,4,2,2,2209,0,2209,52,0,none,2018
772277508,Existing Customer,65,F,1,High School,Single,$40K - $60K,Blue,66,4,5,2,2209,555,2209,52,0.25,none,2019
772539558,Existing Customer,65,F,0,College,Single,$40K - $60K,Blue,55,3,3,0,2022,0,2022,65,0,none,2018
772539558,Existing Customer,65,F,0,College,Single,$40K - $60K,Blue,67,3,6,0,2022,316,2022,87,0.16,none,2019
778247358,Existing Customer,65,M,1,Graduate,Single,$40K - $60K,Silver,56,5,3,2,7636,0,7636,67,0,none,2018
778247358,Existing Customer,65,M,1,Graduate,Single,$40K - $60K,Silver,68,5,3,2,7636,502,7636,79,0.07,none,2019
778357458,Attrited Customer,65,F,3,Graduate,Married,Less than $40K,Blue,36,4,3,3,2003,1140,779,102,0.57,Q4,2019
778357458,Existing Customer,65,F,3,Graduate,Married,Less than $40K,Blue,24,4,3,3,2003,1224,779,42,0.611,none,2018
780689733,Existing Customer,65,M,0,College,Single,$40K - $60K,Silver,56,3,2,2,11332,633,10699,56,0.056,none,2018
780689733,Existing Customer,65,M,0,College,Single,$40K - $60K,Silver,68,3,3,2,11332,909,10699,83,0.08,none,2019
780984408,Attrited Customer,65,F,0,College,Divorced,$40K - $60K,Silver,62,3,2,3,7487,1202,5534,120,0.16,Q2,2019
780984408,Existing Customer,65,F,0,College,Divorced,$40K - $60K,Silver,50,3,3,3,7487,1953,5534,63,0.261,none,2018
787348608,Existing Customer,65,M,0,High School,Married,$40K - $60K,Blue,68,3,1,3,3252,1141,1757,92,0.35,none,2019
787348608,Existing Customer,65,M,0,High School,Married,$40K - $60K,Blue,56,3,2,3,3252,1495,1757,15,0.46,none,2018
788754108,Existing Customer,65,F,1,Graduate,Single,$40K - $60K,Silver,48,4,2,4,4599,637,3962,78,0.139,none,2018
788754108,Existing Customer,65,F,1,Graduate,Single,$40K - $60K,Silver,60,4,4,4,4599,959,3962,50,0.21,none,2019
788864508,Existing Customer,53,F,4,Graduate,Married,Less than $40K,Blue,49,4,1,2,1554,989,628,102,0.64,none,2019
788864508,Existing Customer,52,F,4,Graduate,Married,Less than $40K,Blue,37,4,2,2,1554,926,628,79,0.596,none,2018
788997408,Existing Customer,65,F,2,High School,Single,$40K - $60K,Blue,65,6,0,2,2195,1416,278,122,0.65,none,2019
788997408,Existing Customer,65,F,2,High School,Single,$40K - $60K,Blue,53,6,3,2,2195,1917,278,65,0.873,none,2018
789193383,Existing Customer,65,M,0,High School,Single,$40K - $60K,Blue,54,3,1,5,2644,1691,953,70,0.64,none,2018
789193383,Attrited Customer,65,M,0,High School,Single,$40K - $60K,Blue,66,3,4,5,2644,712,953,70,0.27,Q3,2019
789204933,Existing Customer,65,M,1,Graduate,Single,$40K - $60K,Silver,55,3,2,4,8963,0,8963,76,0,none,2018
789204933,Existing Customer,65,M,1,Graduate,Single,$40K - $60K,Silver,67,3,0,4,8963,1366,8963,79,0.15,none,2019
789344358,Existing Customer,65,F,1,College,Married,$40K - $60K,Blue,59,4,6,3,3416,234,948,81,0.07,none,2019
789467508,Attrited Customer,65,F,0,Graduate,Married,Less than $40K,Blue,68,5,5,0,2961,602,1391,99,0.2,Q3,2019
789467508,Existing Customer,65,F,0,Graduate,Married,Less than $40K,Blue,56,5,3,0,2961,1570,1391,57,0.53,none,2018
795810633,Existing Customer,65,M,0,College,Married,$40K - $60K,Silver,56,3,3,2,10144,1295,8849,24,0.128,none,2018
795810633,Existing Customer,65,M,0,College,Married,$40K - $60K,Silver,68,3,6,2,10144,818,8849,69,0.08,none,2019
802464033,Attrited Customer,65,F,0,Graduate,Married,Less than $40K,Blue,68,6,1,3,4460,900,3198,122,0.2,Q1,2019
802464033,Existing Customer,65,F,0,Graduate,Married,Less than $40K,Blue,56,6,3,3,4460,1262,3198,41,0.283,none,2018
805546308,Existing Customer,65,F,0,High School,Single,$40K - $60K,Silver,68,3,2,2,5951,723,3434,35,0.12,none,2019
805546308,Existing Customer,65,F,0,High School,Single,$40K - $60K,Silver,56,3,3,2,5951,2517,3434,83,0.423,none,2018
807244983,Attrited Customer,65,F,0,College,Married,Less than $40K,Blue,68,6,4,2,2000,1241,758.3,61,0.62,Q3,2019
807244983,Existing Customer,65,F,0,College,Married,Less than $40K,Blue,56,6,1,2,1438.3,680,758.3,55,0.473,none,2018
812019933,Existing Customer,29,M,1,Uneducated,Married,Less than $40K,Blue,68,3,6,2,2468,816,447,100,0.33,none,2019
812019933,Existing Customer,28,M,1,Uneducated,Married,Less than $40K,Blue,56,3,3,2,2468,2021,447,46,0.819,none,2018
814219008,Existing Customer,65,M,1,Uneducated,Single,Less than $40K,Blue,68,5,0,2,1456,855,589,119,0.59,none,2019
814219008,Existing Customer,65,M,1,Uneducated,Single,Less than $40K,Blue,56,5,2,2,1456,867,589,69,0.595,none,2018
821872758,Existing Customer,65,M,0,High School,Single,$40K - $60K,Silver,56,4,2,4,12609,2517,10092,49,0.2,none,2018
821872758,Attrited Customer,65,M,0,High School,Single,$40K - $60K,Silver,68,4,4,4,12609,1492,10092,111,0.12,Q3,2019
822961533,Existing Customer,43,F,0,College,Divorced,$60K - $80K,Silver,56,5,2,3,13666,0,13666,70,0,none,2018
822961533,Existing Customer,44,F,0,College,Divorced,$60K - $80K,Silver,68,5,6,3,13666,338,13666,101,0.02,none,2019
712777233,Attrited Customer,61,M,0,High School,Single,Less than $40K,Blue,48,1,4,3,1671,0,1671,51,0,Q2,2018
715651833,Attrited Customer,65,M,1,High School,Single,Less than $40K,Blue,36,3,4,4,2351,0,2351,35,0,Q2,2018
716924958,Attrited Customer,65,F,2,Graduate,Single,$40K - $60K,Silver,56,3,0,3,6812,1926,4886,48,0.283,Q1,2018
719325783,Attrited Customer,65,M,2,Graduate,Single,Less than $40K,Blue,36,4,2,3,2954,2517,437,28,0.852,Q1,2018
778663458,Attrited Customer,65,M,1,High School,Married,Less than $40K,Blue,47,3,2,1,1759,0,1759,18,0,Q3,2018
780105483,Attrited Customer,65,F,0,Uneducated,Single,Less than $40K,Blue,50,3,4,4,1697,377,1320,49,0.222,Q4,2018
811527933,Attrited Customer,65,F,0,College,Single,$40K - $60K,Silver,56,3,4,3,10885,1758,9127,39,0.162,Q4,2018
816013383,Attrited Customer,65,F,0,Graduate,Divorced,$40K - $60K,Silver,56,3,6,3,6184,0,6184,27,0,Q4,2018
900201956,Existing Customer,65,M,1,High School,Married,Less than $40K,Blue,56,3,6,1,1759,1186,1759,38,0.67,none,2019
708162558,Existing Customer,64,F,0,High School,Married,$40K - $60K,Blue,66,6,3,2,3250,1338,1258,77,0.41,none,2019
708162558,Existing Customer,64,F,0,High School,Married,$40K - $60K,Blue,54,6,1,2,3250,1992,1258,36,0.613,none,2018
708252108,Existing Customer,64,M,0,College,Single,$40K - $60K,Silver,53,6,3,2,7362,1907,5455,65,0.259,none,2018
708252108,Existing Customer,64,M,0,College,Single,$40K - $60K,Silver,65,6,3,2,7362,990,5455,44,0.13,none,2019
708267858,Existing Customer,64,F,0,High School,Married,$40K - $60K,Silver,36,5,2,3,6088,2145,3943,52,0.352,none,2018
708267858,Existing Customer,64,F,0,High School,Married,$40K - $60K,Silver,48,5,2,3,6088,1498,3943,68,0.25,none,2019
708295533,Existing Customer,64,F,0,College,Married,$40K - $60K,Blue,68,5,4,2,3549,1491,1669,71,0.42,none,2019
708295533,Existing Customer,64,F,0,College,Married,$40K - $60K,Blue,56,5,3,2,3549,1880,1669,22,0.53,none,2018
708480333,Existing Customer,64,M,0,High School,Single,$40K - $60K,Blue,48,5,2,3,2163,385,1231,85,0.18,none,2019
708480333,Existing Customer,64,M,0,High School,Single,$40K - $60K,Blue,36,5,2,3,2163,932,1231,57,0.431,none,2018
708590658,Existing Customer,64,F,1,College,Married,$60K - $80K,Gold,53,5,3,2,15965,2312,13653,40,0.145,none,2018
708590658,Existing Customer,64,F,1,College,Married,$60K - $80K,Gold,65,5,4,2,15965,1420,13653,44,0.09,none,2019
708887433,Existing Customer,64,M,0,Graduate,Single,$40K - $60K,Blue,68,6,2,3,2717,497,2717,82,0.18,none,2019
708887433,Existing Customer,64,M,0,Graduate,Single,$40K - $60K,Blue,56,6,1,3,2717,0,2717,59,0,none,2018
709081683,Attrited Customer,64,M,1,High School,Single,Less than $40K,Silver,66,3,4,3,4599,1016,3161,116,0.22,Q3,2019
709081683,Existing Customer,64,M,1,High School,Single,Less than $40K,Silver,54,3,1,3,4599,1438,3161,69,0.313,none,2018
709131033,Existing Customer,64,F,2,Uneducated,Married,$40K - $60K,Blue,48,3,1,4,2025,715,324,88,0.35,none,2019
709131033,Existing Customer,64,F,2,Uneducated,Married,$40K - $60K,Blue,36,3,3,4,2025,1701,324,71,0.84,none,2018
709310433,Existing Customer,64,F,0,College,Single,$40K - $60K,Silver,56,3,2,2,5441,812,4629,76,0.149,none,2018
709310433,Existing Customer,64,F,0,College,Single,$40K - $60K,Silver,68,3,4,2,5441,1362,4629,106,0.25,none,2019
709468683,Existing Customer,64,F,0,High School,Married,$40K - $60K,Blue,68,6,0,2,2174,929,777,77,0.43,none,2019
709468683,Existing Customer,64,F,0,High School,Married,$40K - $60K,Blue,56,6,2,2,2174,1397,777,39,0.643,none,2018
709523508,Existing Customer,64,F,0,Graduate,Single,$40K - $60K,Silver,53,5,1,2,11097,0,11097,83,0,none,2018
709523508,Existing Customer,64,F,0,Graduate,Single,$40K - $60K,Silver,65,5,0,2,11097,545,11097,14,0.05,none,2019
709597983,Existing Customer,64,M,0,Uneducated,Divorced,Less than $40K,Blue,68,6,0,3,1573,297,920,116,0.19,none,2019
709597983,Existing Customer,64,M,0,Uneducated,Divorced,Less than $40K,Blue,56,6,1,3,1573,653,920,77,0.415,none,2018
709662708,Attrited Customer,64,M,1,High School,Married,$40K - $60K,Blue,65,3,1,3,3506,1424,1902,83,0.41,Q2,2019
709662708,Existing Customer,64,M,1,High School,Married,$40K - $60K,Blue,53,3,3,3,3506,1604,1902,61,0.458,none,2018
710458758,Attrited Customer,64,F,0,Graduate,Married,Less than $40K,Blue,65,5,6,5,4161,1071,1670,18,0.26,Q3,2019
710458758,Existing Customer,64,F,0,Graduate,Married,Less than $40K,Blue,53,5,3,5,4161,2491,1670,30,0.599,none,2018
710522433,Existing Customer,64,M,0,Graduate,Married,Less than $40K,Blue,58,3,1,2,2416,931,917,78,0.39,none,2019
710522433,Existing Customer,64,M,0,Graduate,Married,Less than $40K,Blue,46,3,2,2,2416,1499,917,53,0.62,none,2018
710523333,Existing Customer,64,M,0,Graduate,Married,$40K - $60K,Blue,68,6,3,2,2541,524,925,73,0.21,none,2019
710523333,Existing Customer,64,M,0,Graduate,Married,$40K - $60K,Blue,56,6,3,2,2541,1616,925,27,0.636,none,2018
710687508,Existing Customer,64,M,0,High School,Married,$40K - $60K,Blue,56,6,3,1,2621,1858,763,47,0.709,none,2018
710687508,Attrited Customer,64,M,0,High School,Married,$40K - $60K,Blue,68,6,1,1,2621,470,763,56,0.18,Q2,2019
710749458,Attrited Customer,64,F,0,Graduate,Married,$40K - $60K,Silver,65,4,1,3,5462,834,3598,51,0.15,Q2,2019
710749458,Existing Customer,64,F,0,Graduate,Married,$40K - $60K,Silver,53,4,1,3,5462,1864,3598,35,0.341,none,2018
710821833,Existing Customer,64,M,1,Graduate,Married,$40K - $60K,Silver,54,6,2,3,9095,1587,7508,26,0.174,none,2018
710821833,Existing Customer,64,M,1,Graduate,Married,$40K - $60K,Silver,66,6,0,3,9095,356,7508,76,0.04,none,2019
710850633,Existing Customer,64,M,0,High School,Single,$40K - $60K,Blue,53,3,2,2,2507,1613,894,67,0.643,none,2018
710850633,Existing Customer,64,M,0,High School,Single,$40K - $60K,Blue,65,3,3,2,2507,304,894,102,0.12,none,2019
710903358,Attrited Customer,64,F,0,College,Single,$40K - $60K,Silver,67,5,1,1,6352,805,4966,93,0.13,Q4,2019
710903358,Existing Customer,64,F,0,College,Single,$40K - $60K,Silver,55,5,2,1,6352,1386,4966,77,0.218,none,2018
710947683,Existing Customer,64,F,0,Graduate,Married,Less than $40K,Silver,63,6,4,1,4920,767,3778,13,0.16,none,2019
710947683,Existing Customer,64,F,0,Graduate,Married,Less than $40K,Silver,51,6,3,1,4920,1142,3778,31,0.232,none,2018
711076533,Existing Customer,64,M,0,College,Divorced,$40K - $60K,Silver,42,5,3,2,9706,1968,7738,58,0.203,none,2018
711076533,Existing Customer,64,M,0,College,Divorced,$40K - $60K,Silver,54,5,5,2,9706,243,7738,24,0.03,none,2019
711238908,Existing Customer,64,F,0,College,Single,$40K - $60K,Silver,54,6,5,2,7699,1758,5941,62,0.228,none,2018
711238908,Existing Customer,64,F,0,College,Single,$40K - $60K,Silver,66,6,1,2,7699,1411,5941,71,0.18,none,2019
711525033,Existing Customer,64,F,0,High School,Married,$40K - $60K,Blue,54,3,4,2,3171,2179,992,38,0.687,none,2018
711525033,Existing Customer,64,F,0,High School,Married,$40K - $60K,Blue,66,3,5,2,3171,352,992,103,0.11,none,2019
711659958,Existing Customer,64,F,0,Graduate,Married,$40K - $60K,Blue,56,4,2,1,2692,1869,823,36,0.694,none,2018
711659958,Existing Customer,64,F,0,Graduate,Married,$40K - $60K,Blue,68,4,3,1,2692,917,823,40,0.34,none,2019
711795633,Existing Customer,64,M,0,College,Single,$40K - $60K,Blue,52,3,3,4,3675,0,3675,53,0,none,2018
711795633,Attrited Customer,64,M,0,College,Single,$40K - $60K,Blue,64,3,6,4,3675,783,3675,28,0.21,Q4,2019
711840408,Existing Customer,64,M,0,College,Married,Less than $40K,Blue,67,5,1,4,2492,529,1068,33,0.21,none,2019
711840408,Existing Customer,64,M,0,College,Married,Less than $40K,Blue,55,5,3,4,2492,1424,1068,30,0.571,none,2018
712523283,Existing Customer,64,M,3,Graduate,Married,$60K - $80K,Silver,41,4,3,2,14938,0,14938,31,0,none,2018
712720158,Existing Customer,64,M,1,College,Married,$60K - $80K,Silver,56,5,2,3,13860,1652,12208,32,0.119,none,2018
712720158,Attrited Customer,64,M,1,College,Married,$60K - $80K,Silver,68,5,4,3,13860,951,12208,60,0.07,Q3,2019
712852233,Existing Customer,64,F,0,Graduate,Single,$40K - $60K,Silver,65,5,0,4,6663,1357,5898,91,0.2,none,2019
712852233,Existing Customer,64,F,0,Graduate,Single,$40K - $60K,Silver,53,5,3,4,6663,765,5898,78,0.115,none,2018
713029683,Attrited Customer,64,M,0,Graduate,Single,Less than $40K,Blue,48,5,3,1,1873,968,1405,96,0.52,Q2,2019
713029683,Existing Customer,64,M,0,Graduate,Single,Less than $40K,Blue,36,5,4,1,1873,468,1405,82,0.25,none,2018
713307708,Existing Customer,64,F,0,Graduate,Married,Less than $40K,Blue,67,6,3,2,2895,1409,378,50,0.49,none,2019
713307708,Existing Customer,64,F,0,Graduate,Married,Less than $40K,Blue,55,6,3,2,2895,2517,378,37,0.869,none,2018
714351558,Existing Customer,64,F,0,Uneducated,Single,Less than $40K,Blue,48,3,3,1,1829,376,1829,32,0.21,none,2019
714351558,Existing Customer,64,F,0,Uneducated,Single,Less than $40K,Blue,36,3,2,1,1829,0,1829,65,0,none,2018
715078383,Existing Customer,64,F,0,College,Married,$40K - $60K,Silver,36,3,1,3,7646,1010,6636,47,0.132,none,2018
715078383,Existing Customer,64,F,0,College,Married,$40K - $60K,Silver,48,3,3,3,7646,1167,6636,74,0.15,none,2019
715339758,Existing Customer,64,F,1,College,Divorced,$60K - $80K,Gold,36,3,3,1,18038,1184,16854,64,0.066,none,2018
715339758,Attrited Customer,64,F,1,College,Divorced,$60K - $80K,Gold,48,3,4,1,18038,483,16854,92,0.03,Q3,2019
715746633,Existing Customer,64,F,0,Graduate,Single,$40K - $60K,Silver,66,3,4,2,5577,890,4888,101,0.16,none,2019
